Language,Question,Standard Answer,Generated Answer,generated_data_extracted,
Spain,"Según menciona Ariel Gutiérrez, profesor e investigador de la Universidad Juárez Autónoma de Tabasco,
entre los aspectos favorables está una mayor interactividad, pues el ciberlector puede desestructurar y
reestructurar conjuntos de texto originales, editarlos, copiarlos o reescribirlos, además de localizarlos y
consultarlos desde cualquier lugar donde haya una conexión a internet. 10.________________. Hay que
saber usar bases de datos y motores de búsqueda, así como ser capaz de asociar y conectar elementos
desde diversas perspectivas para encontrar de forma eficaz lo que se desea.A. El principal impedimento es que la ciberlectura requiere nuevas habilidades y estrategias para no extraviarse en ese mar de información digital.
B. Este reto para los lectores en formato digital es la comprensión y la construcción de memoria a largo plazo, pues diversos estudios psicológicos y neurológicos han concluido que resulta más fácil evocar el contenido de un texto cuando se lee en papel.
C. De hecho, hoy más del 93 % de los contenidos que se generan en el mundo están en formato digital, lo cual ha hecho que estalle la llamada lectura electrónica o ciberlectura.
D. Pero, con una oferta de lectura abrumadora y en continuo crecimiento, en papel o formato digital, es complicado decidir por dónde empezar.
E. Las plataformas digitales han extendido tanto el rango de posibilidades que muchos especialistas ya no hablan de «alfabetización», sino que utilizan el concepto más extenso de «multialfabetización» para abarcar las nuevas necesidades.
F. En este sentido, el escritor Nicholas G. Carr generó enorme controversia al plantear un argumento crítico hacia las nuevas plataformas digitales.
G. Más allá de estrategias mercadotécnicas y recetas de consultorio que pueden sonar exageradas, escritores, filósofos, educadores e historiadores de todos los tiempos han argumentado sobre lo provechoso que resulta leer.",A,A. EL PRINCIPAL IMPEDIMENTO ES QUE LA CIBERLECTURA REQUIERE NUEVAS HABILIDADES Y ESTRATEGIAS PARA NO EXTRAVIARSE EN ESE MAR DE INFORMACIÓN DIGITAL.,A,1
Spain,"11.________________. La idea se basa en que, en el caso de los textos digitales, la lectura ya no se hace de manera lineal de principio a fin, como regularmente sucede con los libros tradicionales, que nos trazan la ruta; en un hipertexto el lector tiene que controlar las secuencias y vincular intelectualmente los contenidos. Por otro lado, además de relacionar diferentes lenguajes y contextos y construir un mapa mental para ordenar la información, el lector digital se enfrenta al reto de manejar diferentes programas informáticos.A. El principal impedimento es que la ciberlectura requiere nuevas habilidades y estrategias para no extraviarse en ese mar de información digital.
B. Este reto para los lectores en formato digital es la comprensión y la construcción de memoria a largo plazo, pues diversos estudios psicológicos y neurológicos han concluido que resulta más fácil evocar el contenido de un texto cuando se lee en papel.
C. De hecho, hoy más del 93 % de los contenidos que se generan en el mundo están en formato digital, lo cual ha hecho que estalle la llamada lectura electrónica o ciberlectura.
D. Pero, con una oferta de lectura abrumadora y en continuo crecimiento, en papel o formato digital, es complicado decidir por dónde empezar.
E. Las plataformas digitales han extendido tanto el rango de posibilidades que muchos especialistas ya no hablan de «alfabetización», sino que utilizan el concepto más extenso de «multialfabetización» para abarcar las nuevas necesidades.
F. En este sentido, el escritor Nicholas G. Carr generó enorme controversia al plantear un argumento crítico hacia las nuevas plataformas digitales.
G. Más allá de estrategias mercadotécnicas y recetas de consultorio que pueden sonar exageradas, escritores, filósofos, educadores e historiadores de todos los tiempos han argumentado sobre lo provechoso que resulta leer.",E,A,A,0
Spain,"12.________________. Manifiesta que los formatos de lectura impuestos por estas tecnologías, en las que predominan los multimedios y las múltiples actividades a la vez, están afectando la capacidad de concentración y entendimiento que antes exigía un texto impreso, y con ello minando los cimientos de la cultura que durante siglos se construyó a partir de la invención de Gutenberg.A. El principal impedimento es que la ciberlectura requiere nuevas habilidades y estrategias para no extraviarse en ese mar de información digital.
B. Este reto para los lectores en formato digital es la comprensión y la construcción de memoria a largo plazo, pues diversos estudios psicológicos y neurológicos han concluido que resulta más fácil evocar el contenido de un texto cuando se lee en papel.
C. De hecho, hoy más del 93 % de los contenidos que se generan en el mundo están en formato digital, lo cual ha hecho que estalle la llamada lectura electrónica o ciberlectura.
D. Pero, con una oferta de lectura abrumadora y en continuo crecimiento, en papel o formato digital, es complicado decidir por dónde empezar.
E. Las plataformas digitales han extendido tanto el rango de posibilidades que muchos especialistas ya no hablan de «alfabetización», sino que utilizan el concepto más extenso de «multialfabetización» para abarcar las nuevas necesidades.
F. En este sentido, el escritor Nicholas G. Carr generó enorme controversia al plantear un argumento crítico hacia las nuevas plataformas digitales.
G. Más allá de estrategias mercadotécnicas y recetas de consultorio que pueden sonar exageradas, escritores, filósofos, educadores e historiadores de todos los tiempos han argumentado sobre lo provechoso que resulta leer.",F,E,E,0
Spain,"«Una olla observada nunca rompe a hervir», decía el científico Benjamin Franklin para ilustrar que cuando uno se centra en el paso del tiempo es como si este no pasara. Qué es el tiempo es algo que han intentado responder los filósofos desde la antigua Grecia, si bien hoy aún no hay una definición aceptada por todos. En lo que sí hay consenso es en explicar el motivo de una sensación casi universal: la de que en verano el tiempo pasa más deprisa. Por lo general, la ausencia de un horario rígido y la dedicación a actividades atractivas hacen que nuestra percepción de la realidad sea diferente. Al dejar de mirar el reloj no somos conscientes del paso del tiempo. Entonces reestructuramos el equilibrio entre las emociones, los pensamientos y nuestro cuerpo.
Lo deseable sería que esa armonía se extendiera todo el año, pero conseguirlo es prácticamente una utopía en la sociedad actual. Estamos atravesando un momento de desajuste porque en cuanto a la tecnología el ritmo es vertiginoso, pero biológica y cerebralmente los cambios se producen con lentitud. El problema, coinciden los especialistas, es que queremos ir al paso de los avances tecnológicos y eso es imposible: los ordenadores cada vez trabajan a mayor velocidad y son capaces de realizar más tareas simultáneamente. En la medida en que trabajamos con ordenadores nos mimetizamos con su compás. Somos esclavos del tiempo, de una sociedad que está empezando a exigir a las personas lo que solo es propio de las máquinas.
Este ritmo acelerado, el ir con la lengua fuera tras el reloj, hace que nos angustie cumplir años. Hoy una persona de mediana edad, si se queda en paro, prácticamente no tiene oportunidades. Se prima la juventud y la belleza, y así cuesta más envejecer. El envejecimiento va ligado a cambios y unas cosas se pierden y otras se ganan. Si nos centramos en las primeras solo se siente angustia, lo que puede provocar la aparición de trastornos como la gerascofobia, definida como ‘el miedo irracional a hacerse mayor’, o la cronofobia, una condición psicológica en la que se sufre un temor muy intenso y atroz ante la idea de no poder controlar el paso del tiempo, ante la idea de estar atrapado.
La percepción del tiempo es una capacidad exclusivamente humana relacionada, por un lado, con el desarrollo de los sistemas de memoria retrospectiva, que permiten almacenar lo sucedido en una secuencia ordenada y generar la línea temporal de nuestro pasado y, por otro lado, con los sistemas de memoria prospectiva, que permiten anticipar y predecir lo que va a suceder, nuestro futuro más probable. Si hubiera que destacar una estructura cerebral clave relacionada con el tiempo, sería el cerebelo, situado en la parte posterior y que resulta crucial a la hora de generar ese reloj interno que parece que todos tenemos y que nos permite, por ejemplo, estimar el paso del tiempo sin necesidad de relojes y sin ningún referente ambiental.
Por lo que se refiere a la concepción filosófica, damos por supuesto que el tiempo es el conjunto de todo lo anterior y lo posterior en el orden de los cambios. Es la noción que formuló Aristóteles y que recogieron los primeros físicomatemáticos. Hoy en día, habría que señalar dos grandes líneas de pensamiento: la concepción circular del tiempo que mantienen los budistas o los hinduistas, en la que los mismos eventos se reiteran una y otra vez, en una rueda de la vida, y la concepción lineal, que es la que se ha impuesto y que predica que todo tiene un principio y un final.
No obstante, según algunos expertos, la clave del debate actual es la siguiente: se tiende a prestar más atención a lo urgente que a lo realmente importante, cuando lo realmente importante es pararse a pensar sobre la gran cuestión de la vida, que es qué hacer con ella. 13 Según el texto, hay acuerdo en que la noción del tiempo…
a) es una sensación que varía según las circunstancias.
b) prioriza el componente racional sobre el sensorial.
c) resulta realmente inexplicable sin el uso del reloj.",A,A) VARÍA SEGÚN LAS CIRCUNSTANCIAS,A,1
Spain,"«Una olla observada nunca rompe a hervir», decía el científico Benjamin Franklin para ilustrar que cuando uno se
centra en el paso del tiempo es como si este no pasara. Qué es el tiempo es algo que han intentado responder los
filósofos desde la antigua Grecia, si bien hoy aún no hay una definición aceptada por todos. En lo que sí hay consenso es en explicar el motivo de una sensación casi universal: la de que en verano el tiempo pasa más deprisa. Por lo
general, la ausencia de un horario rígido y la dedicación a actividades atractivas hacen que nuestra percepción de la
realidad sea diferente. Al dejar de mirar el reloj no somos conscientes del paso del tiempo. Entonces reestructuramos
el equilibrio entre las emociones, los pensamientos y nuestro cuerpo.
Lo deseable sería que esa armonía se extendiera todo el año, pero conseguirlo es prácticamente una utopía en la
sociedad actual. Estamos atravesando un momento de desajuste porque en cuanto a la tecnología el ritmo es vertiginoso, pero biológica y cerebralmente los cambios se producen con lentitud. El problema, coinciden los especialistas, es que queremos ir al paso de los avances tecnológicos y eso es imposible: los ordenadores cada vez trabajan
a mayor velocidad y son capaces de realizar más tareas simultáneamente. En la medida en que trabajamos con
ordenadores nos mimetizamos con su compás. Somos esclavos del tiempo, de una sociedad que está empezando
a exigir a las personas lo que solo es propio de las máquinas.
Este ritmo acelerado, el ir con la lengua fuera tras el reloj, hace que nos angustie cumplir años. Hoy una persona de
mediana edad, si se queda en paro, prácticamente no tiene oportunidades. Se prima la juventud y la belleza, y así
cuesta más envejecer. El envejecimiento va ligado a cambios y unas cosas se pierden y otras se ganan. Si nos centramos en las primeras solo se siente angustia, lo que puede provocar la aparición de trastornos como la gerascofobia, definida como ‘el miedo irracional a hacerse mayor’, o la cronofobia, una condición psicológica en la que se sufre
un temor muy intenso y atroz ante la idea de no poder controlar el paso del tiempo, ante la idea de estar atrapado.
La percepción del tiempo es una capacidad exclusivamente humana relacionada, por un lado, con el desarrollo de
los sistemas de memoria retrospectiva, que permiten almacenar lo sucedido en una secuencia ordenada y generar
la línea temporal de nuestro pasado y, por otro lado, con los sistemas de memoria prospectiva, que permiten anticipar
y predecir lo que va a suceder, nuestro futuro más probable. Si hubiera que destacar una estructura cerebral clave
relacionada con el tiempo, sería el cerebelo, situado en la parte posterior y que resulta crucial a la hora de generar
ese reloj interno que parece que todos tenemos y que nos permite, por ejemplo, estimar el paso del tiempo sin necesidad de relojes y sin ningún referente ambiental.
Por lo que se refiere a la concepción filosófica, damos por supuesto que el tiempo es el conjunto de todo lo anterior
y lo posterior en el orden de los cambios. Es la noción que formuló Aristóteles y que recogieron los primeros físicomatemáticos. Hoy en día, habría que señalar dos grandes líneas de pensamiento: la concepción circular del tiempo
que mantienen los budistas o los hinduistas, en la que los mismos eventos se reiteran una y otra vez, en una rueda
de la vida, y la concepción lineal, que es la que se ha impuesto y que predica que todo tiene un principio y un final.
No obstante, según algunos expertos, la clave del debate actual es la siguiente: se tiende a prestar más atención a
lo urgente que a lo realmente importante, cuando lo realmente importante es pararse a pensar sobre la gran cuestión
de la vida, que es qué hacer con ella.14. En opinión de los expertos, el acelerado ritmo tecnológico…
a) hace tomar mayor consciencia del paso del tiempo.
b) está produciendo muchas alteraciones biológicas.
c) somete al ser humano a una presión excesiva",C,C,C,1
Spain,"«Una olla observada nunca rompe a hervir», decía el científico Benjamin Franklin para ilustrar que cuando uno se
centra en el paso del tiempo es como si este no pasara. Qué es el tiempo es algo que han intentado responder los
filósofos desde la antigua Grecia, si bien hoy aún no hay una definición aceptada por todos. En lo que sí hay consenso es en explicar el motivo de una sensación casi universal: la de que en verano el tiempo pasa más deprisa. Por lo
general, la ausencia de un horario rígido y la dedicación a actividades atractivas hacen que nuestra percepción de la
realidad sea diferente. Al dejar de mirar el reloj no somos conscientes del paso del tiempo. Entonces reestructuramos
el equilibrio entre las emociones, los pensamientos y nuestro cuerpo.
Lo deseable sería que esa armonía se extendiera todo el año, pero conseguirlo es prácticamente una utopía en la
sociedad actual. Estamos atravesando un momento de desajuste porque en cuanto a la tecnología el ritmo es vertiginoso, pero biológica y cerebralmente los cambios se producen con lentitud. El problema, coinciden los especialistas, es que queremos ir al paso de los avances tecnológicos y eso es imposible: los ordenadores cada vez trabajan
a mayor velocidad y son capaces de realizar más tareas simultáneamente. En la medida en que trabajamos con
ordenadores nos mimetizamos con su compás. Somos esclavos del tiempo, de una sociedad que está empezando
a exigir a las personas lo que solo es propio de las máquinas.
Este ritmo acelerado, el ir con la lengua fuera tras el reloj, hace que nos angustie cumplir años. Hoy una persona de
mediana edad, si se queda en paro, prácticamente no tiene oportunidades. Se prima la juventud y la belleza, y así
cuesta más envejecer. El envejecimiento va ligado a cambios y unas cosas se pierden y otras se ganan. Si nos centramos en las primeras solo se siente angustia, lo que puede provocar la aparición de trastornos como la gerascofobia, definida como ‘el miedo irracional a hacerse mayor’, o la cronofobia, una condición psicológica en la que se sufre
un temor muy intenso y atroz ante la idea de no poder controlar el paso del tiempo, ante la idea de estar atrapado.
La percepción del tiempo es una capacidad exclusivamente humana relacionada, por un lado, con el desarrollo de
los sistemas de memoria retrospectiva, que permiten almacenar lo sucedido en una secuencia ordenada y generar
la línea temporal de nuestro pasado y, por otro lado, con los sistemas de memoria prospectiva, que permiten anticipar
y predecir lo que va a suceder, nuestro futuro más probable. Si hubiera que destacar una estructura cerebral clave
relacionada con el tiempo, sería el cerebelo, situado en la parte posterior y que resulta crucial a la hora de generar
ese reloj interno que parece que todos tenemos y que nos permite, por ejemplo, estimar el paso del tiempo sin necesidad de relojes y sin ningún referente ambiental.
Por lo que se refiere a la concepción filosófica, damos por supuesto que el tiempo es el conjunto de todo lo anterior
y lo posterior en el orden de los cambios. Es la noción que formuló Aristóteles y que recogieron los primeros físicomatemáticos. Hoy en día, habría que señalar dos grandes líneas de pensamiento: la concepción circular del tiempo
que mantienen los budistas o los hinduistas, en la que los mismos eventos se reiteran una y otra vez, en una rueda
de la vida, y la concepción lineal, que es la que se ha impuesto y que predica que todo tiene un principio y un final.
No obstante, según algunos expertos, la clave del debate actual es la siguiente: se tiende a prestar más atención a
lo urgente que a lo realmente importante, cuando lo realmente importante es pararse a pensar sobre la gran cuestión
de la vida, que es qué hacer con ella.15. La autora del texto habla del paso de los años como…
a) un obstáculo para reincorporarse al mercado laboral.
b) un proceso caracterizado por el irremediable deterioro.
c) una circunstancia vital inevitable que se debería asumir. ",A,B,B,0
Spain,"«Una olla observada nunca rompe a hervir», decía el científico Benjamin Franklin para ilustrar que cuando uno se
centra en el paso del tiempo es como si este no pasara. Qué es el tiempo es algo que han intentado responder los
filósofos desde la antigua Grecia, si bien hoy aún no hay una definición aceptada por todos. En lo que sí hay consenso es en explicar el motivo de una sensación casi universal: la de que en verano el tiempo pasa más deprisa. Por lo
general, la ausencia de un horario rígido y la dedicación a actividades atractivas hacen que nuestra percepción de la
realidad sea diferente. Al dejar de mirar el reloj no somos conscientes del paso del tiempo. Entonces reestructuramos
el equilibrio entre las emociones, los pensamientos y nuestro cuerpo.
Lo deseable sería que esa armonía se extendiera todo el año, pero conseguirlo es prácticamente una utopía en la
sociedad actual. Estamos atravesando un momento de desajuste porque en cuanto a la tecnología el ritmo es vertiginoso, pero biológica y cerebralmente los cambios se producen con lentitud. El problema, coinciden los especialistas, es que queremos ir al paso de los avances tecnológicos y eso es imposible: los ordenadores cada vez trabajan
a mayor velocidad y son capaces de realizar más tareas simultáneamente. En la medida en que trabajamos con
ordenadores nos mimetizamos con su compás. Somos esclavos del tiempo, de una sociedad que está empezando
a exigir a las personas lo que solo es propio de las máquinas.
Este ritmo acelerado, el ir con la lengua fuera tras el reloj, hace que nos angustie cumplir años. Hoy una persona de
mediana edad, si se queda en paro, prácticamente no tiene oportunidades. Se prima la juventud y la belleza, y así
cuesta más envejecer. El envejecimiento va ligado a cambios y unas cosas se pierden y otras se ganan. Si nos centramos en las primeras solo se siente angustia, lo que puede provocar la aparición de trastornos como la gerascofobia, definida como ‘el miedo irracional a hacerse mayor’, o la cronofobia, una condición psicológica en la que se sufre
un temor muy intenso y atroz ante la idea de no poder controlar el paso del tiempo, ante la idea de estar atrapado.
La percepción del tiempo es una capacidad exclusivamente humana relacionada, por un lado, con el desarrollo de
los sistemas de memoria retrospectiva, que permiten almacenar lo sucedido en una secuencia ordenada y generar
la línea temporal de nuestro pasado y, por otro lado, con los sistemas de memoria prospectiva, que permiten anticipar
y predecir lo que va a suceder, nuestro futuro más probable. Si hubiera que destacar una estructura cerebral clave
relacionada con el tiempo, sería el cerebelo, situado en la parte posterior y que resulta crucial a la hora de generar
ese reloj interno que parece que todos tenemos y que nos permite, por ejemplo, estimar el paso del tiempo sin necesidad de relojes y sin ningún referente ambiental.
Por lo que se refiere a la concepción filosófica, damos por supuesto que el tiempo es el conjunto de todo lo anterior
y lo posterior en el orden de los cambios. Es la noción que formuló Aristóteles y que recogieron los primeros físicomatemáticos. Hoy en día, habría que señalar dos grandes líneas de pensamiento: la concepción circular del tiempo
que mantienen los budistas o los hinduistas, en la que los mismos eventos se reiteran una y otra vez, en una rueda
de la vida, y la concepción lineal, que es la que se ha impuesto y que predica que todo tiene un principio y un final.
No obstante, según algunos expertos, la clave del debate actual es la siguiente: se tiende a prestar más atención a
lo urgente que a lo realmente importante, cuando lo realmente importante es pararse a pensar sobre la gran cuestión
de la vida, que es qué hacer con ella.16. Según el texto, la percepción del tiempo está relacionada con…
a) la capacidad cognitiva de cada individuo.
b) la función desempeñada por un órgano.
c) la necesidad de hacer balance de lo vivido.",B,B,B,1
Spain,"«Una olla observada nunca rompe a hervir», decía el científico Benjamin Franklin para ilustrar que cuando uno se
centra en el paso del tiempo es como si este no pasara. Qué es el tiempo es algo que han intentado responder los
filósofos desde la antigua Grecia, si bien hoy aún no hay una definición aceptada por todos. En lo que sí hay consenso es en explicar el motivo de una sensación casi universal: la de que en verano el tiempo pasa más deprisa. Por lo
general, la ausencia de un horario rígido y la dedicación a actividades atractivas hacen que nuestra percepción de la
realidad sea diferente. Al dejar de mirar el reloj no somos conscientes del paso del tiempo. Entonces reestructuramos
el equilibrio entre las emociones, los pensamientos y nuestro cuerpo.
Lo deseable sería que esa armonía se extendiera todo el año, pero conseguirlo es prácticamente una utopía en la
sociedad actual. Estamos atravesando un momento de desajuste porque en cuanto a la tecnología el ritmo es vertiginoso, pero biológica y cerebralmente los cambios se producen con lentitud. El problema, coinciden los especialistas, es que queremos ir al paso de los avances tecnológicos y eso es imposible: los ordenadores cada vez trabajan
a mayor velocidad y son capaces de realizar más tareas simultáneamente. En la medida en que trabajamos con
ordenadores nos mimetizamos con su compás. Somos esclavos del tiempo, de una sociedad que está empezando
a exigir a las personas lo que solo es propio de las máquinas.
Este ritmo acelerado, el ir con la lengua fuera tras el reloj, hace que nos angustie cumplir años. Hoy una persona de
mediana edad, si se queda en paro, prácticamente no tiene oportunidades. Se prima la juventud y la belleza, y así
cuesta más envejecer. El envejecimiento va ligado a cambios y unas cosas se pierden y otras se ganan. Si nos centramos en las primeras solo se siente angustia, lo que puede provocar la aparición de trastornos como la gerascofobia, definida como ‘el miedo irracional a hacerse mayor’, o la cronofobia, una condición psicológica en la que se sufre
un temor muy intenso y atroz ante la idea de no poder controlar el paso del tiempo, ante la idea de estar atrapado.
La percepción del tiempo es una capacidad exclusivamente humana relacionada, por un lado, con el desarrollo de
los sistemas de memoria retrospectiva, que permiten almacenar lo sucedido en una secuencia ordenada y generar
la línea temporal de nuestro pasado y, por otro lado, con los sistemas de memoria prospectiva, que permiten anticipar
y predecir lo que va a suceder, nuestro futuro más probable. Si hubiera que destacar una estructura cerebral clave
relacionada con el tiempo, sería el cerebelo, situado en la parte posterior y que resulta crucial a la hora de generar
ese reloj interno que parece que todos tenemos y que nos permite, por ejemplo, estimar el paso del tiempo sin necesidad de relojes y sin ningún referente ambiental.
Por lo que se refiere a la concepción filosófica, damos por supuesto que el tiempo es el conjunto de todo lo anterior
y lo posterior en el orden de los cambios. Es la noción que formuló Aristóteles y que recogieron los primeros físicomatemáticos. Hoy en día, habría que señalar dos grandes líneas de pensamiento: la concepción circular del tiempo
que mantienen los budistas o los hinduistas, en la que los mismos eventos se reiteran una y otra vez, en una rueda
de la vida, y la concepción lineal, que es la que se ha impuesto y que predica que todo tiene un principio y un final.
No obstante, según algunos expertos, la clave del debate actual es la siguiente: se tiende a prestar más atención a
lo urgente que a lo realmente importante, cuando lo realmente importante es pararse a pensar sobre la gran cuestión
de la vida, que es qué hacer con ella.17. En cuanto a la concepción filosófica del tiempo, el texto señala que…
a) el pensamiento de la Antigüedad ha quedado superado.
b) predomina la teoría de dos extremos claramente marcados.
c) se debate entre corrientes que poseen elementos comunes.",B,C,C,0
Spain,"Un buen pan de masa madre se ve tostado y dorado, su corteza es gruesa y crujiente al tacto. La miga es
húmeda y, ____27____, lo suficientemente aireada por dentro como para que presente agujeros irregulares
entre sí y se aleje del blando perfecto del producto industrializado.a) a su vez b) rara vez c) de una vez",A,A) A SU VEZ,A,1
Spain,"El aroma debe ser, simplemente, lo que se espera del olor a pan, y tanto allí como en el sabor debe distinguirse un toque ácido, que será más fuerte si se trata de un pan de masa madre ____28____ de uno hecho con levadura fresca o instantánea.a) tanto como b) como que c) que",C,B,B,0
Spain,"Nadie que entienda del tema duda en dar la siguiente respuesta: el primer secreto de un pan verdaderamente
delicioso es la paciencia. No se puede ____29____ elaborar un pan en un breve periodo de tiempo, lo
ideal es un proceso de un día completo.a) pretender b) evitar c) prevenir",A,A) PRETENDER,A,1
Spain," si se amasa de más o de menos ____32____ el efecto de
la levadura y es importante no destruir las burbujas del aire que ingresaron en el tiempo de reposo para
obtener un resultado ligero.32. a) se estropea b) se desgasta c) se avería",A,C) SE AVERÍA,C,0
Spain,"Hoy en día, muchas panaderías son la prueba viva de que la elaboración lenta, aquella que ____33____
a la calidad sobre la cantidad y que persigue que los productos tengan como distintivo un sabor natural,
se afianza. a) repercute b) predomina c) da prioridad",C,A,A,0
Spain,"No se trata solo del pan, porque en las ciudades todo aquello que tiene que ver con la
autenticidad —el café de especialidad, la cerveza artesanal, alimentos naturales, ____34____ aquellas
recetas que se remontan a la comida casera y perduran en la memoria— ha ido reconquistando. 34. a) salvo b) incluso c) sino",B,B,B,1
Spain," En cualquier caso, lo fundamental en cualquier pan es que se ____40____ bien, su
esponjosidad y la facilidad para masticarlo. 40. a) digiera b) digiere c) digiriera",A,B,B,0
German,"Der Höhepunkt der Piraterie lag zwischen 1690 und 1730,in einer Zeit, in der vielen Menschen nur die Wahl
zwischen Arbeitslosigkeit, Piraterie oder Arbeit auf einem Handelsschiff zu schlechten (21) blieb. a Gelegenheiten
b Konzepten c Bedingungen d Rahmen",C,A GELEGENHEITEN,A,0
German,"Palmen, tropische Inseln, Augenklappen, Säbel,
Holzbeine und Totenkopf-Flaggen – all das kommt
einem in den Sinn, wenn man heute an Piraten (22). a denkt
b überlegt
c diskutiert
d fühlt",A,BONUSÜBERLEGT,B,0
German,"Piratengeschichten und -filme sind beliebt, das (23)
auch die Zahlen der Kinokassen und Videotheken.
Doch die Wirklichkeit sah anders aus, als in den
Abenteuergeschichten verherrlichend und romantisierend dargestellt wird.a zeigen
b bedeuten
c beschreiben
d ermöglichen",A,CBeschreiben,C,0
German,"Menschen wurden gefoltert und hingerichtet.
Und auch heutzutage ist aus dieser Seeräuber romantik leider wieder tödlicher Ernst geworden. (24) durch
Globalisierung, also erhöhtes Handelsvolumen zu
Wasser,a Hervorgegangen
b Hervorgerufen
c Hervorgebracht
d Hervorgewagt",B,C. HERVORGEBRACHT,C,0
German,"Daher gelangen ihnen spektakuläre Überfälle. 2005 wurde ein Passagierschiff vor Somalia von
Piraten angegriffen, die mit Maschinengewehren und
Panzerfäusten (28) waren. a ausgerichtet
b attackiert
c gestärkt
d bewaffnet",D,B_ATTACKIERT,B,0
German," Im April 2008 kaperten
Seeräuber eine französische Yacht und nahmen circa
30 Geiseln, die sie (29) ein Lösegeld freipressten.
Im November 2008 gelang es Piraten, einen Supertanker mit einer Schiffsladung von zwei Millionen
Fass Rohöl zu kapern.a gegen
b dank
c aufgrund
d mit",A,C AUFGRUND,C,0
German," Maßnahmen gegen diese
Form der organisierten Kriminalität bestehen (30),
die Schiffe besser zu sichern und die Seeleute speziell zu schulen. Außerdem hat die Euro päische Union
nun die Marine mit der Abschreckung, Verhütung
und Beendigung seeräuberischer Aktivi täten beauftragt. a dazu
b damit
c darin
d daraus",C,BIMDARUM,B,0
German,"Obst und Gemüse werden
selber abgewogen, in einigen Supermärkten zieht der Kunde
seine Ware allein über die Scanner-Kasse, in den Banken
tippt man seine Überweisungen brav in das Computer terminal
und Möbel werden zu Hause mithilfe schwer verständlicher
(24) zusammengeschraubt. a Anleitungen
b Anzeichen
c Anzeigen
d Vorschriften",A,A ANLEITUNGEN,A,1
German,"Wer Service oder Hilfe will, muss
kräftige Preisaufschläge in (25) nehmen. Was vor ein paar
Jahrzehnten als Selbstbedienung in den Lebensmittelgeschäften anfing und dem Kunden tatsächlich manche Warterei am
Verkaufstresen ersparte, hat eine neue Qualität erhalten.a Anspruch
b Betracht
c Kauf
d Rechnung",C,BETRACHT,B,0
German," Denn scheinbare Kleinigkeiten wie der Verbrauch von Strom, Papier und Druckerpatronen summieren sich für den Kunden, der (28) Onlinetickets, Kontoauszüge oder Rechnungen am heimischen Rechner ausdruckt. Er zahlt, was früher ganz selbstverständlich
Bahn, Fluggesellschaften oder Banken erledigten. Und er hilft ungewollt dabei, dass immer mehr Personal abgebaut werden. a gemäßigt b gleichmäßig c regelmäßig d verhältnismäßig
kann. ",C,Bungleichmäßig,B,0
German,"Wer sich darüber aufregt, gilt nicht selten als altmodisch oder rückständiger sei nicht fit für den Kampf mit Automaten oder Computerseiten, die jedoch beide längst nicht so fehlerfrei funktionieren
und nicht so leicht zu (30) sind, wie die Verfechter eines
angeblichen Fortschritts behaupten. a  erledigen b handhaben c umgehen d verfahren ",B,C,C,0
German,"Aufgrund der gestiegenen Lebenserwartung und des gesetzlich festgelegten späteren Beginns der Renten -
zahlung ist bis zum Jahr 2020 mit einer Erhöhung (22) der 55- bis 64-Jährigen in den Betrieben um 40 Prozent zu rechnen. A der Beteiligung B  der Nummer C  des Anteils D des Beitrags ",C,A. BETEILIGUNG,A,0
German,"Seit Jahren ist der demografische Wandel ein ausgiebig
diskutiertes Thema in der deutschen Öffentlichkeit. Die Bundesbürger werden immer älter und das hat spürbare (21) auf alle Bereiche des gesellschaftlichen Lebens – auch auf die Arbeitswelt. A Auswirkungen
B Eindrücke
C Ergebnisse
D Weiterungen",A,AUSWIRKUNGEN,A,1
German," Das Ideal ist (24) immer noch der junge, dynamische Erfolgsmensch und
nur langsam setzt sich in den Personalabteilungen die
Erkenntnis durch, dass auch ältere, berufserfahrene Mit -
arbeiter von nicht zu unterschätzendem Wert für ihre Firma
sein können.  A am Rande
B auf Dauer
C im Besonderen
D in der Regel ",D,B,B,0
German,"Ein Unternehmen, das langfristig um quali -
fizierte Arbeitskräfte bemüht ist und den sich immer deut -
licher abzeichnenden Facharbeitermangel ernst (26) , kommt
nicht umhin, Geld in Bereiche wie Gesundheitsvorsorge und
Weiterbildung für ältere Arbeitskräfte zu investieren. A diskutiert B erachtet C nimmt D sieht ",C,DSEHT,D,0
German,"Leider (27) sich bisher das betriebliche Interesse an den Älteren oft
nur auf Mitarbeitergespräche und Krankenstandsanalysen.  A begrenzt B  beschränkt C kürzt D sorgt",B,C KÜRZT,C,0
German,"Selten wird danach gefragt, was der Grund für Fehlzeiten durch Krankheit ist – inwiefern also das Betriebsklima,
Mobbing oder ungesunde Arbeitsbedingungen dafür (28) sind. A gerecht B schuldig C ursprünglich D verantwortlich ",D,D RESPONSIBLE,D,1
German,"Weitsichtige Führungskräfte, die dem verbreiteten
Vorurteil über die angeblich so tatkräftige Jugend kritisch
(29) , erklären denn auch ganz klar, dass ältere Arbeitnehmer
im Vergleich oft wesentlich besser ausgebildet und befähigt
sind. Und mit der konjunkturell bedingten verbesserten
Auftragslage steigt die Nachfrage nach diesen lebens- und
berufserfahrenen Beschäftigten. A gegenübersehen B gegenübersitzen C  gegenüberstehen D entgegenstehen ",C,B,B,0
